timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1244762054,1244761890,-0.029097581,-0.022870447,-0.0012824616,0.47615016,0.0,0.0,0.0,-1.0
1244930077,1244929889,-0.029873183,-0.0238023,-0.0014666513,0.5100735,0.0,0.0,0.0,-1.0
1244974022,1244973882,-0.03052626,-0.024247319,-0.0012056264,0.5191484,0.0,0.0,0.0,-1.0
1245018069,1245017882,-0.031814706,-0.025496822,-0.0013385538,0.52821356,0.0,0.0,0.0,-1.0
1245062015,1245061882,-0.03222893,-0.026146198,-0.00012570372,0.53754985,0.0,0.0,0.0,-1.0
1245102022,1245101882,-0.032852754,-0.026276324,-0.0026817955,0.54612726,0.0,0.0,0.0,-1.0
1245146060,1245145882,-0.032466125,-0.025570853,-0.0034390143,0.5545719,0.0,0.0,0.0,-1.0
1245186067,1245185882,-0.024057252,-0.025491785,-0.0021939608,0.56398046,0.0,0.0,0.0,-1.0
1245230027,1245229889,-0.025864096,-0.020839518,0.015709616,0.5733408,0.0,0.0,0.0,-1.0
1245274063,1245273882,-0.03201218,-0.030344134,-0.011833439,0.58122313,0.0,0.0,0.0,-1.0
1245314051,1245313882,-0.019179365,-0.03108786,-0.0011013164,0.5903354,0.0,0.0,0.0,-1.0
1245358015,1245357882,-0.034027632,-0.033280622,-0.006578722,0.59952384,0.0,0.0,0.0,-1.0
1245398027,1245397882,-0.052225996,-0.04057788,-0.003912753,0.607526,0.0,0.0,0.0,-1.0
1245438033,1245437882,-0.04571646,-0.030210787,0.0022577173,0.61646986,0.0,0.0,0.0,-1.0
1245482058,1245481882,-0.04047205,-0.03120377,-0.0037209084,0.6260898,0.0,0.0,0.0,-1.0
1245522051,1245521882,-0.031885944,-0.026163418,0.000993858,0.63487357,0.0,0.0,0.0,-1.0
1245566021,1245565882,-0.034926046,-0.0230922,-0.0015691696,0.6446505,0.0,0.0,0.0,-1.0
1245610057,1245609882,-0.029832846,-0.026036352,-0.004718828,0.6541926,0.0,0.0,0.0,-1.0
1245650050,1245649882,-0.025487928,-0.027503978,-0.00062050606,0.66345996,0.0,0.0,0.0,-1.0
1245694041,1245693912,-0.03797231,-0.03105142,-0.00060800347,0.6730502,0.0,0.0,0.0,-1.0
1245734011,1245733882,-0.038215313,-0.026186323,-0.0008097292,0.6823255,0.0,0.0,0.0,-1.0
